datetime_beginning_utc,datetime_beginning_ept,fuel_type,total_sum_co2,total_sum_so2,total_sum_nox,percent_co2,percent_so2,percent_nox,full_interval
11/1/2024 9:00:00 PM,11/1/2024 5:00:00 PM,Other Renewables,862769.483833,1096.886283,1379.555383,1.385334,4.737717,6.243015,True
11/1/2024 9:00:00 PM,11/1/2024 5:00:00 PM,Solar,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 9:00:00 PM,11/1/2024 5:00:00 PM,Storage,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 9:00:00 PM,11/1/2024 5:00:00 PM,Wind,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 8:00:00 PM,11/1/2024 4:00:00 PM,Coal,22780572.995333,20859.038203,11224.667024,37.860658,90.847371,54.140568,True
11/1/2024 8:00:00 PM,11/1/2024 4:00:00 PM,Gas,32857722.224750,266.003660,6110.789804,54.608590,1.158526,29.474516,True
11/1/2024 8:00:00 PM,11/1/2024 4:00:00 PM,Hydro,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 8:00:00 PM,11/1/2024 4:00:00 PM,Multiple Fuels,3175049.072000,140.311348,1774.190522,5.276840,0.611098,8.557553,True
11/1/2024 8:00:00 PM,11/1/2024 4:00:00 PM,Nuclear,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 8:00:00 PM,11/1/2024 4:00:00 PM,Oil,507711.789833,619.271958,263.756048,0.843802,2.697115,1.272189,True
11/1/2024 8:00:00 PM,11/1/2024 4:00:00 PM,Other,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 8:00:00 PM,11/1/2024 4:00:00 PM,Other Renewables,848455.758667,1075.905217,1359.048152,1.410109,4.685890,6.555173,True
11/1/2024 8:00:00 PM,11/1/2024 4:00:00 PM,Solar,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 8:00:00 PM,11/1/2024 4:00:00 PM,Storage,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 8:00:00 PM,11/1/2024 4:00:00 PM,Wind,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 7:00:00 PM,11/1/2024 3:00:00 PM,Coal,22897933.588833,20837.485747,11336.055667,38.762533,90.956134,56.055520,True
11/1/2024 7:00:00 PM,11/1/2024 3:00:00 PM,Gas,31748869.287250,261.127420,5548.967277,53.745749,1.139828,27.439019,True
11/1/2024 7:00:00 PM,11/1/2024 3:00:00 PM,Hydro,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 7:00:00 PM,11/1/2024 3:00:00 PM,Multiple Fuels,3103423.431750,137.642804,1743.995783,5.253599,0.600814,8.623863,True
11/1/2024 7:00:00 PM,11/1/2024 3:00:00 PM,Nuclear,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 7:00:00 PM,11/1/2024 3:00:00 PM,Oil,482791.324083,614.877665,257.779862,0.817288,2.683956,1.274692,True
11/1/2024 7:00:00 PM,11/1/2024 3:00:00 PM,Other,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 7:00:00 PM,11/1/2024 3:00:00 PM,Other Renewables,839318.103417,1058.245583,1336.108383,1.420831,4.619268,6.606906,True
11/1/2024 7:00:00 PM,11/1/2024 3:00:00 PM,Solar,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 7:00:00 PM,11/1/2024 3:00:00 PM,Storage,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 7:00:00 PM,11/1/2024 3:00:00 PM,Wind,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 6:00:00 PM,11/1/2024 2:00:00 PM,Coal,22685199.740667,20685.793242,11310.196730,38.678685,90.706665,55.393411,True
11/1/2024 6:00:00 PM,11/1/2024 2:00:00 PM,Gas,31513324.672500,260.441229,5745.402495,53.730801,1.142028,28.138984,True
11/1/2024 6:00:00 PM,11/1/2024 2:00:00 PM,Hydro,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 6:00:00 PM,11/1/2024 2:00:00 PM,Multiple Fuels,3100247.024583,131.743011,1708.799493,5.285978,0.577690,8.369106,True
11/1/2024 6:00:00 PM,11/1/2024 2:00:00 PM,Nuclear,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 6:00:00 PM,11/1/2024 2:00:00 PM,Oil,476285.272333,611.619208,257.018497,0.812075,2.681934,1.258787,True
11/1/2024 6:00:00 PM,11/1/2024 2:00:00 PM,Other,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 6:00:00 PM,11/1/2024 2:00:00 PM,Other Renewables,875333.949417,1115.555667,1396.528807,1.492461,4.891683,6.839713,True
11/1/2024 6:00:00 PM,11/1/2024 2:00:00 PM,Solar,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 6:00:00 PM,11/1/2024 2:00:00 PM,Storage,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 6:00:00 PM,11/1/2024 2:00:00 PM,Wind,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 5:00:00 PM,11/1/2024 1:00:00 PM,Coal,23065382.631083,20935.157389,11467.612303,39.864225,90.837429,56.296400,True
11/1/2024 5:00:00 PM,11/1/2024 1:00:00 PM,Gas,30895115.418667,257.245343,5694.996532,53.396462,1.116185,27.957677,True
11/1/2024 5:00:00 PM,11/1/2024 1:00:00 PM,Hydro,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 5:00:00 PM,11/1/2024 1:00:00 PM,Multiple Fuels,2554876.710750,128.029591,1561.707929,4.415629,0.555519,7.666682,True
11/1/2024 5:00:00 PM,11/1/2024 1:00:00 PM,Nuclear,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 5:00:00 PM,11/1/2024 1:00:00 PM,Oil,472473.846500,611.369792,256.641025,0.816583,2.652727,1.259893,True
11/1/2024 5:00:00 PM,11/1/2024 1:00:00 PM,Other,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 5:00:00 PM,11/1/2024 1:00:00 PM,Other Renewables,872006.646500,1115.038492,1389.105327,1.507101,4.838140,6.819347,True
11/1/2024 5:00:00 PM,11/1/2024 1:00:00 PM,Solar,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 5:00:00 PM,11/1/2024 1:00:00 PM,Storage,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 5:00:00 PM,11/1/2024 1:00:00 PM,Wind,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 4:00:00 PM,11/1/2024 12:00:00 PM,Coal,23387778.343750,21479.402766,11656.017644,40.571268,91.014826,57.192338,True
11/1/2024 4:00:00 PM,11/1/2024 12:00:00 PM,Gas,30122099.202667,253.088884,5364.088113,52.253435,1.072415,26.319859,True
11/1/2024 4:00:00 PM,11/1/2024 12:00:00 PM,Hydro,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 4:00:00 PM,11/1/2024 12:00:00 PM,Multiple Fuels,2791316.866917,146.256503,1725.122738,4.842156,0.619734,8.464624,True
11/1/2024 4:00:00 PM,11/1/2024 12:00:00 PM,Nuclear,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 4:00:00 PM,11/1/2024 12:00:00 PM,Oil,477534.081833,610.172125,256.648252,0.828388,2.585487,1.259291,True
11/1/2024 4:00:00 PM,11/1/2024 12:00:00 PM,Other,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 4:00:00 PM,11/1/2024 12:00:00 PM,Other Renewables,867432.892417,1110.974075,1378.506435,1.504754,4.707538,6.763889,True
11/1/2024 4:00:00 PM,11/1/2024 12:00:00 PM,Solar,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 4:00:00 PM,11/1/2024 12:00:00 PM,Storage,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 4:00:00 PM,11/1/2024 12:00:00 PM,Wind,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 1:00:00 PM,11/1/2024 9:00:00 AM,Coal,24270379.464917,22538.016881,12192.666716,40.216610,91.469812,56.015057,True
11/1/2024 1:00:00 PM,11/1/2024 9:00:00 AM,Gas,31906228.695500,262.994877,6230.525147,52.869398,1.067356,28.624027,True
11/1/2024 1:00:00 PM,11/1/2024 9:00:00 AM,Hydro,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 1:00:00 PM,11/1/2024 9:00:00 AM,Multiple Fuels,2799379.070333,147.202670,1728.535584,4.638639,0.597417,7.941168,True
11/1/2024 1:00:00 PM,11/1/2024 9:00:00 AM,Nuclear,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 1:00:00 PM,11/1/2024 9:00:00 AM,Oil,539233.324083,619.361833,283.951815,0.893523,2.513660,1.304520,True
11/1/2024 1:00:00 PM,11/1/2024 9:00:00 AM,Other,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 1:00:00 PM,11/1/2024 9:00:00 AM,Other Renewables,833922.379333,1072.265542,1331.087215,1.381830,4.351755,6.115227,True
11/1/2024 1:00:00 PM,11/1/2024 9:00:00 AM,Solar,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 1:00:00 PM,11/1/2024 9:00:00 AM,Storage,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 1:00:00 PM,11/1/2024 9:00:00 AM,Wind,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 12:00:00 PM,11/1/2024 8:00:00 AM,Coal,24111337.095250,22126.745243,12056.734080,39.893238,91.393728,55.787276,True
11/1/2024 12:00:00 PM,11/1/2024 8:00:00 AM,Gas,32449568.090167,263.178167,6394.547043,53.689198,1.087048,29.587976,True
11/1/2024 12:00:00 PM,11/1/2024 8:00:00 AM,Hydro,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 12:00:00 PM,11/1/2024 8:00:00 AM,Multiple Fuels,2451784.971583,124.271362,1514.762468,4.056583,0.513298,7.008902,True
11/1/2024 12:00:00 PM,11/1/2024 8:00:00 AM,Nuclear,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 12:00:00 PM,11/1/2024 8:00:00 AM,Oil,585321.052083,623.417704,307.631924,0.968439,2.575004,1.423432,True
11/1/2024 12:00:00 PM,11/1/2024 8:00:00 AM,Other,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 12:00:00 PM,11/1/2024 8:00:00 AM,Other Renewables,841647.290000,1072.741583,1338.303088,1.392541,4.430921,6.192414,True
11/1/2024 12:00:00 PM,11/1/2024 8:00:00 AM,Solar,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
11/1/2024 12:00:00 PM,11/1/2024 8:00:00 AM,Storage,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True
